A;AA;;;;;;Aal;;;;;;;+;;;;AA;;;M;;SCHÄRFUNG vergl. 'All';;;
A;;AB;;;;;ab;;;NRW;;;NRW;;;;;B/P;;;;;;;;
;;;;;;;Ab·bruch;;;;;;;300523;;;;;;;M;"(zu Verb ""(ab)-bre·chen""";"kurz-Vok ""uch""";"engl. ""cancel"" diff. zu ""Buch"" über ""Bü·cher""";;
A;A;;;;;;A|bend;;;;BB12;;NRW;;;;;;ND;;M;;;;;
A;A;;;;;032;a|ber;;BB;NRW;;;NRW;;;;;;;;;;;;;
A;;ACHS;;;;;Ach·se;;;;;;;+;;;;CHS;;;F;vergl. X-KS ;BIG-X' ZU 'K';;(AUDIO);
;;;;;;;Ach·sel;;;;;;;+;;;;;;;F;(vergl. Axel);;;;"(TEST FOR JOINT ""ch·s"")"
;;ACH;;;;;ach&so;;;;;;;;;;;ACH;;;INTERJEKTION;MEHRWORTAD;;;;
A;;ACH;;;;;acht;ZAHL;;;BB12;;;+;;;;ACH;CHT;;;;BIG-X;('ach so');;
A;;ACH;;;;;Ach·tung;;;;;;;+;;;;ACH;;;F;vergl. VERB 'achten';BIG-X;;;
A;;ACK;;;;;a·ckern;CODED;;;;;;+;;;;ACK;RN;;INF;(nach DWDS und Duden NICHT trennbar BS);"""der Kern vom Bauern ist das ackern""";('schwer arbeiten');(MEMO: SYLL-FUGE FÜR -ERN ALGO);
A;A;;;;;;A|del;;;;;;;+;;;;;;;M;vergl. edel;;;;
A;(A);;;;;;(Ad)·ler;;;;;;;+;;;;;;;M;ÜBER edler Aar;(T-SCHWA) ;;;
;;;;;;;Ad·jek·tiv;;;;;;;+;;;;;;;N;;"#TBD# ""Eigenschaftswort""";;;OP
A;;AD;;;;;Ad·v=vent;;;;;;NRW;;;;;;NT;;M;;;;;
;;;;;;;Ad·verb;;;;;;;+;;;;;;;N;;"#TBD# DEF ""Beiwort""";;;OP
A;;AF;;;;;Af·fe;ALMAa=a;;;;;NRW;;;;;FF;;;M;;;;;*FÜR KURZ-'A'
A;;AF;;;;;Af·(ri)·ka1;ENTITY;;;;;NRW;;;;;;;;;;A' AMBI;;PHONETIC_VARIANT;
A;(A);;;;;;A|(fri)·ka2;ENTITY;;;;;;+;;;;;;;;;A' AMBI AUCH LANG-A;;PHONETIC_VARIANT;
A;A;;;;;;A|gent;;;;;;;+;;;;;NT;;M;ITAL.;;;;
A;A;;;;;;A|ha;;;;;;;;;;;;;;INTERJEK;;;;;
;;;;;;;Ah·nung;;;;;;;300523;;;;;;;F;;Vokalsilbe mit lang-h;;;
A;AI;;;;;;Ai=aI·ki·do;;;;;;;+;;;;;;;N;LEHNWORT JAP.;vergl. 'ai' FÜR 'ei';;;
A;;AK;;;;;Ak·(ti)'e;;;;;;;+;;;;TIE;;;F;VON Aktion;tsje' PLU: 'Akti-en';;;
A;;AK;;;;;Ak·(ti)on;;;;;;;+;;;;TIO;;;F;LAT.;tsjo';;;
A;;AL;;;;;al·bern;;;;;;;+;;;;;RN;;;;DWDS:T-SCHWA;;;
A;;AL;;;;;Al·ko·hol;;;;;;;+;;ALL (E);;;;;M;ARAB.;;;;
A;;AL;;;;;All;;;;;;;+;;AND (ER);;;;;N;Alles' (Kosmos);;;;
A;;AL;;;;087;al·le;;BB;NRW;BB12;;NRW;;;;;;;;;;;;;
A;;AL;;;;;al·lein;;;;;;NRW;;;;;;;;;;;;;
A;;AL;;;;025;als;;BB;NRW;;;NRW;;;;;;LS;;;;;;;
A;;AL;;;;;al·so;;;NRW;;;NRW;;;;;;;;;;;;;
A;;AL;;;;;Al·pha·bet;;;;;;;+;;;;;;;N;;;;;
A;;AL;;;;;alt;;;;BB12;;NRW;;;;;;LT;;ADJ;;;;;
A;;AM;;;;073;am;;BB;NRW;;;NRW;;;;;;;;;;;;;
A:;A;;;;;;A|mei·se;ALMAa=a:;;;;;;+;;;;;;;F;;;;;%FÜR LANG-'A'
A;A;;;;;;A|me·ri·ka;ENTITY;;;;;NRW;;;;;;;;;;;;;
A;;AM;;;;;Am·pel;;;;BB12;;;;;;;;;;F;;;;;
A;;AM;;;;;Amt;;;;;;;+;;;;;MT;;N;;;;;
A;;AN;;;;026;an;;BB;NRW;;;NRW;;;;;;;;;;;;;
;;;;;;;an*;AFFIX;;;;;;;;;;;;;;;;;;
A;;(AN);;;;;(Ana)·nas;SCHPAa=a:;;;;;;;;;;;;;F;VON PLU ZU INDIO. '(a) nana';;eigentl. 'An-na-nas' vergl. 'Anna';;*FÜR 'A'
A;;AN;;;;;an·de·re;;;;;;NRW;;;;;;;;;;;;;
A;;AN;;;;;an·ders;;;;;BB34;;;;;;;RS;;ADV;;DWDS:T-SCHWA;;;
A;;AN-;;;;;An-fang;;;;;;;+;;;;NG;;AN-;M;;CHIL OF:'fan·gen';;;OP
A;;AN-;;;;;an-fan·gen;;;;;;;+;;;;NG;;AN-;INF;;;;;OP
A;;ANG;;;;;An·gel;;;;;;;+;;;;NG;;;F;;;;;
A;;ANG;;;;;Angst;;;;;BB34;NRW;;;;;NG;ST;;F;;;;;
A;;ANG;;;;;Angst+schweiß;;;;;;;;;;;;;;M;;K-CLUSTER;(Lukas);;QUIZ-WORT
A;;AN-;;;;;an-hal·ten;;;;;;;+;;;;AN-;;;INF;;;;;
;;AN;;;;;An·ker;;;;;;;;;;;NK;;;M;;;;;
A;;AN-;;;;;an-kom·men;;;;;;;+;;;;AN-;;;INF;;;;;
A;;AN-;;;;;An-kunft;;;;;;;+;;;;(NFT);FT;;F;;;;;
A;;AN;;;;;An·na;ENTITY;;;;;;+;;;;NN;;;;;;;;PROTO-WORT
A;;ANT-;;;;;Ant-wort;;;;;;;+;;;;;RT;ANT-;F;DWDS vergl. 'ant-'/vergl. 'ent-';DWDS: VOK-R;;;
A;;ANT-;;;;;ant-wor·ten;;;;BB12;;NRW;;;;;;;ANT-;INF;;DWDS: VOK-R;;;OP
A;;APF;;;;;Ap·fel;;;;BB12;;NRW;;;;;PF;;;M;;;;;
A;;APR;;;;;Ap·ri·ko·se;;;;;;;+;;;;PR;;;F;ARAB. (AUCH FARSI);;;;
